V,I,G,P,fault_type
136.94052,9.98591,844.6336,1367.4757080732,1
139.04534,9.95746,844.7656,1384.5384112364,1
138.92868,9.94529,844.78838,1381.6860119172,1
138.17504,9.97574,844.73537,1378.3982735296,1
137.07915,10.03791,844.57462,1375.9881705765,1
137.83937,9.9779,844.74963,1375.347449923,1
138.82375,9.92213,844.78987,1377.4272945875,1
136.5684,10.00213,844.59442,1365.974890692,1
138.48722,9.99605,844.55376,1384.325175481,1
140.17691,9.90835,844.53907,1388.9218861985,1
139.36522,10.0004,843.34084,1393.707946088,1
137.73358,9.98004,843.32679,1374.5866377432,1
139.01836,9.94843,843.31913,1383.0144231748,1
139.07374,9.97264,843.25483,1386.9323424736,1
137.58321,10.01689,843.2412,1378.1558804169,1
137.30483,9.97598,843.38768,1369.7502379834,1
139.44038,9.94977,843.27889,1387.3997097126,1
138.12943,9.95071,843.41642,1374.4859003953,1
136.99346,9.98258,843.30507,1367.5481739268,1
138.37633,9.96802,843.34957,1379.3380249666,1
139.55264,9.88865,843.65935,1379.987213536,1
139.21389,9.86643,843.61166,1373.5441007127,1
139.44033,9.91252,843.61378,1382.2050599316,1
137.0256,9.88576,843.60208,1354.602195456,1
138.10387,9.86007,843.46603,1361.7138254709,1
139.76882,9.89418,843.63103,1382.8978634676,1
140.46764,9.87277,843.81881,1386.8047021628,1
142.45524,9.84912,843.33083,1403.0587533888,1
138.33903,9.89163,843.35574,1368.3984993189,1
135.94909,9.91196,843.71406,1347.5219421164,1
140.56411,9.82784,843.47667,1381.4415828224,1
138.51719,9.82154,843.71513,1360.4521222726,1
139.73895,9.78722,843.57418,1367.655846219,1
138.34221,9.79101,843.51415,1354.5099615321,1
142.64727,9.79949,843.41557,1397.8704958923,1
142.62683,9.80067,843.40535,1397.8384939761,1
139.56084,9.80194,843.85245,1367.9669800296,1
142.93527,9.76027,843.38108,1395.0868277229,1
141.56287,9.75563,843.15774,1381.0349814581,1
139.2934,9.81992,843.62081,1367.850044528,1
140.2627,9.7876,843.73386,1372.83520252,1
139.96069,9.83281,843.94102,1376.2068722389,1
140.03069,9.81424,844.07856,1374.2947990256,1
140.11425,9.78056,844.03661,1370.39582898,1
138.36808,9.78755,843.87821,1354.284501404,1
141.17234,9.82368,844.0909,1386.8318930112,1
142.38514,9.8004,843.9687,1395.431326056,1
137.24303,9.77439,844.28848,1341.4669000017,1
141.19324,9.79329,844.41324,1382.7463453596,1
142.16381,9.79182,844.12965,1392.0424380342,1
138.89315,9.80489,844.22354,1361.8320575035,1
141.04727,9.77099,843.9159,1378.1714646973,1
140.17945,9.7998,844.54865,1373.73057411,1
138.18126,9.78274,844.44496,1351.7913394524,1
142.40185,9.78346,844.16947,1393.182803401,1
137.83724,9.85034,844.36108,1357.7436786616,1
139.51382,9.78449,844.28912,1365.0715766518,1
142.40736,9.75481,844.28401,1389.1567394016,1
138.29479,9.82487,844.09388,1358.7283334273,1
142.53096,9.82779,844.05833,1400.7643433784,1
137.50835,9.78844,844.66937,1345.992233474,1
141.12486,9.79626,844.46093,1382.4958210236,1
136.23956,9.7954,844.16287,1334.520986024,1
139.5614,9.78448,844.71471,1365.535727072,1
139.35495,9.81106,844.62913,1367.219775747,1
138.44866,9.77992,844.32914,1354.0168189072,1
138.73756,9.78124,844.57228,1357.0253713744,1
140.50236,9.81856,844.44284,1379.5308518016,1
137.36977,9.76994,844.49223,1342.0944107138,1
141.35627,9.79333,844.3696,1384.3485996791,1
141.11524,9.78371,844.1371,1380.6305847404,1
138.98703,9.78901,844.47413,1360.5454265403,1
135.54013,9.80158,844.64808,1328.5074274054,1
141.11833,9.81363,844.09963,1384.8830768379,1
139.08442,9.78433,844.58974,1360.8478631386,1
141.53124,9.76919,844.47073,1382.6455744956,1
139.10942,9.80367,844.47967,1363.7828475714,1
136.25227,9.83918,844.53758,1340.6106099386,1
143.276,9.79798,844.5495,1403.81538248,1
139.51236,9.79927,844.80094,1367.1192839772,1
139.87763,9.71774,844.52374,1359.2944401562,1
141.84601,9.68119,844.35725,1373.2381735519,1
140.70968,9.72426,844.12561,1368.2975128368,1
141.25727,9.73497,844.39621,1375.1352857319,1
138.8563,9.6841,844.32297,1344.69829483,1
139.45769,9.69435,844.24952,1351.9516570515,1
140.61624,9.70263,844.22099,1364.3473487112,1
140.70613,9.72354,844.46817,1368.1616833002,1
141.28283,9.72879,844.36896,1374.5109836757,1
139.98828,9.65435,844.62572,1351.495851018,1
138.88748,9.71048,843.68851,1348.6640967904,1
140.49183,9.69743,843.76133,1362.4096869969,1
141.47966,9.72008,843.65615,1375.1936135728,1
139.22775,9.71018,843.48136,1351.926513495,1
141.9896,9.72743,843.6866,1381.193894728,1
141.31279,9.69077,843.80732,1369.4297459483,1
141.70651,9.69998,843.723,1374.5503128698,1
143.83128,9.73491,843.80476,1400.1845659848,1
143.04869,9.71183,843.9308,1389.2645590027,1
142.61777,9.64158,843.83648,1375.0606388766,1
142.17489,9.76123,844.23163,1387.8018015147,1
142.45838,9.79788,843.94975,1395.7901122344,1
135.23265,9.77617,843.97061,1322.0573759505,1
141.05739,9.75612,843.90717,1376.1728237268,1
140.34526,9.78811,844.08239,1373.7148428586,1
140.14548,9.82391,844.16989,1376.7765824268,1
139.4829,9.82389,843.89801,1370.264666481,1
140.88652,9.76505,843.82307,1375.763912126,1
141.6349,9.77721,843.94208,1384.794160629,1
145.33876,9.81326,843.88353,1426.2470399576,1
142.43201,9.87844,844.1899,1407.0060648644,1
135.41259,9.88335,844.0975,1338.3300213765,1
140.52731,9.87497,844.13732,1387.7029704307,1
137.50947,9.88139,843.95592,1358.7847017633,1
137.98063,9.87544,844.15137,1362.6194327272,1
138.83023,9.90712,844.19842,1375.4077482376,1
138.30496,9.92389,844.16563,1372.5232094944,1
139.15887,9.87862,844.03321,1374.6975963594,1
140.80969,9.82015,844.15712,1382.7722772535,1
140.70826,9.86154,844.11028,1387.6001343204,1
136.16445,10.02088,843.51031,1364.487613716,1
138.20237,9.97054,843.56333,1377.9522581798,1
139.86878,9.94755,843.43196,1391.351682489,1
