V,I,G,P,no_module_fault,fault,partial_shading
138.86004,10.15294,854.13382,1409.8376545176,0,0,0
135.23928,10.13656,854.20791,1370.8610760768,0,0,0
135.21717,10.11622,854.1962,1367.8866394974,0,0,0
136.81423,10.11374,853.97713,1383.7035505202,0,0,0
137.0833,10.14169,854.12744,1390.256332777,0,0,0
133.5252,10.16302,853.88302,1357.019278104,0,0,0
136.96587,10.10487,853.93114,1384.0223107869,0,0,0
137.63929,10.11765,854.04504,1392.5861624685,0,0,0
137.16742,10.15399,854.14809,1392.7966110058,0,0,0
132.66704,10.16141,854.09784,1348.0841869264,0,0,0
141.59704,9.89811,854.31309,1401.5430775944,0,0,0
141.09363,9.89425,854.37611,1396.0156486275,0,0,0
142.75371,9.83705,854.40357,1404.2753829555,0,0,0
143.63353,9.8571,854.65203,1415.810068563,0,0,0
139.64977,9.89251,854.75316,1381.4867462227,0,0,0
139.24496,9.86162,854.47745,1373.1808824352,0,0,0
142.7069,9.84255,854.43274,1404.599798595,0,0,0
140.62667,9.87084,854.52323,1388.1033593028,0,0,0
140.28017,9.85302,854.57539,1382.1833206134,0,0,0
143.19269,9.85675,854.38462,1411.4145471575,0,0,0
138.85534,9.98686,854.55325,1386.7288408324,0,0,0
140.59468,9.97243,854.82406,1402.0706046724,0,0,0
141.149,9.97336,854.79149,1407.72979064,0,0,0
137.64405,10.00545,854.66374,1377.1906600725,0,0,0
139.72772,10.0028,854.62776,1397.668437616,0,0,0
139.18635,9.92205,854.64948,1381.0139240175,0,0,0
141.85,9.92004,854.77381,1407.157674,0,0,0
136.94467,9.98853,854.82832,1367.8759446351,0,0,0
134.32434,9.9801,854.5245,1340.570345634,0,0,0
136.7908,9.95791,854.48192,1362.150475228,0,0,0
138.00472,10.08322,854.40634,1391.5319527984,0,0,0
136.26264,10.05475,854.31841,1370.08677954,0,0,0
136.95443,10.03619,854.47681,1374.5006808217,0,0,0
135.84108,10.04599,854.46255,1364.6581312692,0,0,0
135.17045,10.06572,854.46425,1360.587901974,0,0,0
136.21775,10.06387,854.15256,1370.8777276925,0,0,0
138.22155,10.04077,854.3429,1387.8507925935,0,0,0
137.19272,10.04241,854.602,1377.7455432552,0,0,0
134.54021,10.05838,854.52152,1353.2565574598,0,0,0
141.02819,10.01214,854.48724,1411.9939822266,0,0,0
140.25284,10.03898,855.16194,1407.9954557032,0,0,0
139.06321,10.03157,855.4121,1395.0223255397,0,0,0
138.79227,10.05261,855.12553,1395.2245613247,0,0,0
139.08836,10.06497,855.15151,1399.9201707492,0,0,0
136.21492,10.05341,855.44361,1369.4244388772,0,0,0
140.37598,10.01841,855.31395,1406.3441217918,0,0,0
137.0584,10.0513,855.02419,1377.61509592,0,0,0
137.28322,10.06699,855.29309,1382.0288029078,0,0,0
139.34123,10.0377,855.18259,1398.665464371,0,0,0
137.23853,10.02379,855.21367,1375.6502046287,0,0,0
