V,I,G,P,no_module_fault,fault,partial_shading
138.31336,9.64613,827.7409,1334.1886512968,0,0,0
139.3845,9.66188,827.79902,1346.71631286,0,0,0
136.56152,9.70469,827.84884,1325.2872175288,0,0,0
139.96666,9.67685,827.71301,1354.436373821,0,0,0
134.06975,9.65521,827.78987,1294.4715908975,0,0,0
141.74868,9.68589,827.70173,1372.9621221252,0,0,0
138.18172,9.68334,827.88333,1338.0605765448,0,0,0
139.36988,9.66978,828.12817,1347.6760782264,0,0,0
138.56699,9.6969,827.69193,1343.670245331,0,0,0
138.12847,9.70378,827.86268,1340.3682846166,0,0,0
139.13351,9.70942,832.06414,1350.9056846642,0,0,0
139.45997,9.72442,832.03519,1356.1673214674,0,0,0
141.4829,9.7596,832.08586,1380.81651084,0,0,0
139.77443,9.74721,832.38882,1362.4107218403,0,0,0
140.40215,9.70715,832.339,1362.9047303725,0,0,0
139.31866,9.72913,832.10395,1355.4493545658,0,0,0
138.13505,9.76903,832.08415,1349.4454475015,0,0,0
138.78539,9.70017,832.04477,1346.2418765163,0,0,0
139.80389,9.68698,832.15654,1354.2774863522,0,0,0
140.42224,9.75317,831.99048,1369.5619785008,0,0,0
136.30233,9.8247,832.03668,1339.129501551,0,0,0
138.47892,9.83967,831.8474,1362.5868747564,0,0,0
137.60649,9.81695,831.80482,1350.8760320055,0,0,0
138.07366,9.81921,831.83676,1355.7742630086,0,0,0
137.0544,9.83085,831.77289,1347.36124824,0,0,0
137.59429,9.82184,831.76671,1351.4291012936,0,0,0
140.33048,9.79027,831.77906,1373.8732884296,0,0,0
138.15342,9.79337,832.0469,1352.9875588254,0,0,0
137.74411,9.81871,831.66494,1352.4694702981,0,0,0
137.50683,9.81948,831.78651,1350.2455670484,0,0,0
136.16865,9.79581,831.63492,1333.8822233565,0,0,0
137.29567,9.83942,832.04647,1350.9097613114,0,0,0
140.98137,9.80284,831.96386,1382.0178130908,0,0,0
137.64157,9.78609,831.86252,1346.9727917613,0,0,0
138.27004,9.81314,832.00219,1356.8632603256,0,0,0
136.01281,9.84653,831.88658,1339.2542140493,0,0,0
137.07682,9.82335,831.99026,1346.553579747,0,0,0
138.65369,9.78429,832.13482,1356.6279125301,0,0,0
137.77989,9.85513,832.33687,1357.8387273357,0,0,0
136.51708,9.85517,832.11971,1345.3990313036,0,0,0
138.49249,9.85469,831.84038,1364.8005562781,0,0,0
137.47935,9.82852,831.77608,1351.218541062,0,0,0
137.43775,9.83046,831.557,1351.076303865,0,0,0
138.28598,9.84028,831.65515,1360.7727632744,0,0,0
136.76089,9.82241,831.42096,1343.3215335449,0,0,0
138.85999,9.82356,831.62045,1364.0994433644,0,0,0
138.77405,9.8215,831.59341,1362.969332075,0,0,0
137.08051,9.81574,831.60001,1345.5466452274,0,0,0
139.57071,9.78028,831.16398,1365.0406235988,0,0,0
138.46738,9.79789,831.81568,1356.6881578282,0,0,0
137.96059,9.83532,831.30258,1356.8865500388,0,0,0
137.58609,9.81764,831.44331,1350.7707006276,0,0,0
137.72316,9.82112,831.34495,1352.5956811392,0,0,0
135.24318,9.81534,831.26213,1327.4577943812,0,0,0
139.1199,9.81831,831.3343,1365.922305369,0,0,0
135.33449,9.81214,831.5108,1327.9209627086,0,0,0
136.42157,9.80351,831.47993,1337.4102257107,0,0,0
137.35196,9.80899,830.95129,1347.2840021204,0,0,0
136.27545,9.83505,831.43607,1340.2758645225,0,0,0
136.52887,9.77568,831.2996,1334.6625438816,0,0,0
139.88163,9.69955,831.128,1356.7888642665,0,0,0
137.84028,9.73262,831.59532,1341.5470659336,0,0,0
138.25288,9.7195,831.51293,1343.74886716,0,0,0
137.09317,9.71268,831.23764,1331.5420903956,0,0,0
138.03797,9.7312,831.47993,1343.275093664,0,0,0
139.55092,9.73424,831.36326,1358.4221475008,0,0,0
137.25275,9.72007,831.47269,1334.1063376925,0,0,0
138.46303,9.75799,831.47397,1351.1208621097,0,0,0
138.31478,9.77696,831.2517,1352.2980714688,0,0,0
139.08852,9.74114,831.28235,1354.8807457128,0,0,0
138.20864,9.73594,832.26257,1345.5910265216,0,0,0
136.17205,9.74402,831.95194,1326.863178641,0,0,0
139.29122,9.72509,831.78885,1354.6196507098,0,0,0
138.56572,9.72452,831.89616,1347.4851154544,0,0,0
138.03094,9.74979,831.86209,1345.7726785026,0,0,0
138.6792,9.76483,831.83974,1354.178812536,0,0,0
137.37863,9.72413,831.84975,1335.8876573419,0,0,0
137.372,9.67545,831.84911,1329.1359174,0,0,0
135.02453,9.72065,832.10246,1312.5261975445,0,0,0
138.82593,9.73711,832.02709,1351.7633512623,0,0,0
138.61153,9.73217,831.44288,1348.9909739201,0,0,0
140.35882,9.73637,831.74138,1366.5854042834,0,0,0
138.79921,9.74844,831.63322,1353.0757707324,0,0,0
139.54875,9.73934,831.76799,1359.112722825,0,0,0
139.51453,9.68817,831.69773,1351.6404841101,0,0,0
138.08778,9.72383,831.70433,1342.7420977974,0,0,0
138.61487,9.77486,831.55061,1354.9409481682,0,0,0
139.38354,9.72209,831.78885,1355.0993203986,0,0,0
139.26607,9.66404,832.01837,1345.8728711228,0,0,0
139.69006,9.69896,831.7005,1354.8483043376,0,0,0
137.34391,9.82192,831.45545,1348.9808965072,0,0,0
139.58645,9.80707,831.3739,1368.9340862015,0,0,0
136.473,9.7995,831.46865,1337.3671635,0,0,0
137.25128,9.80595,831.69837,1345.879189116,0,0,0
140.97008,9.82953,831.48972,1385.6696304624,0,0,0
139.51858,9.81471,831.42436,1369.3344023118,0,0,0
136.74403,9.80288,831.43479,1340.4853168064,0,0,0
136.57286,9.78524,831.51825,1336.3982125864,0,0,0
137.16625,9.80601,831.73478,1345.0536191625,0,0,0
135.23017,9.82376,831.45034,1328.4687348392,0,0,0
139.86721,9.80125,831.29492,1370.8734920125,0,0,0
137.58918,9.80549,831.27405,1349.1293285982,0,0,0
134.31811,9.80815,831.30045,1317.4121705965,0,0,0
137.01684,9.81978,831.24063,1345.4752250952,0,0,0
138.78038,9.81072,831.24659,1361.5354496736,0,0,0
134.49278,9.83668,831.15206,1322.9624391704,0,0,0
137.58852,9.8202,831.28959,1351.146784104,0,0,0
137.85577,9.78677,831.34921,1349.1627141629,0,0,0
138.13657,9.82284,831.26,1356.8934252588,0,0,0
138.71296,9.82567,831.29555,1362.9477696832,0,0,0
138.22813,9.80277,831.27022,1355.0185659201,0,0,0
139.19987,9.81263,831.11608,1365.9168203581,0,0,0
140.52392,9.80678,831.13013,1378.0871681776,0,0,0
137.87621,9.81705,831.14737,1353.5376473805,0,0,0
138.45574,9.79879,831.14716,1356.6987205546,0,0,0
137.9573,9.80214,830.86868,1352.276768622,0,0,0
140.09684,9.8267,830.98365,1376.689617628,0,0,0
138.75907,9.82198,831.15908,1362.8888103586,0,0,0
137.85804,9.8313,831.18868,1355.323748652,0,0,0
135.95132,9.85287,830.91297,1339.5106822884,0,0,0
137.92025,9.81082,831.24616,1353.110747105,0,0,0
137.46401,9.82212,831.03049,1350.1880019012,0,0,0
136.65161,9.83858,831.05731,1344.4577971138,0,0,0
138.1511,9.82995,831.24744,1358.018405445,0,0,0
138.00705,9.78947,831.15823,1351.0158757635,0,0,0
140.18081,9.81157,831.2402,1375.3938299717,0,0,0
137.38673,9.85612,831.25127,1354.1000972876,0,0,0
140.20435,9.8191,831.15951,1376.680533085,0,0,0
137.94449,9.76129,831.14461,1346.5161707921,0,0,0
137.90602,9.81175,831.59618,1353.099391735,0,0,0
139.87617,9.83077,831.2385,1375.0904557509,0,0,0
138.70218,9.80656,831.31599,1360.1912503008,0,0,0
137.45774,9.84156,831.22466,1352.7985956744,0,0,0
137.4918,9.86385,831.23914,1356.19849143,0,0,0
137.20249,9.81386,831.34474,1346.4860285114,0,0,0
138.59184,9.77975,831.22636,1355.39354724,0,0,0
138.24382,9.82744,831.21614,1358.5828464208,0,0,0
136.03691,9.84248,831.25787,1338.9405659368,0,0,0
137.01573,9.80172,831.12225,1342.9898210556,0,0,0
138.42856,9.77107,830.90168,1352.5951497592,0,0,0
137.42119,9.83128,831.88083,1351.0261968232,0,0,0
139.30317,9.80606,831.90978,1366.0152432102,0,0,0
139.26237,9.79608,831.93853,1364.2253175096,0,0,0
139.85724,9.83319,831.42968,1375.2428137956,0,0,0
136.34717,9.82958,832.09352,1340.2354152886,0,0,0
133.33605,9.77009,831.79375,1302.7052087445,0,0,0
139.8997,9.79489,831.90936,1370.302172533,0,0,0
139.76416,9.82336,832.04349,1372.9536587776,0,0,0
140.92883,9.82625,831.91,1384.8019157875,0,0,0
139.48108,9.8101,832.08437,1368.323342908,0,0,0
140.90383,9.80478,831.59618,1381.5310543074,0,0,0
137.0753,9.80592,831.42841,1344.149425776,0,0,0
138.69692,9.83613,831.73946,1364.2409357196,0,0,0
136.79475,9.83051,831.72051,1344.7621578225,0,0,0
138.84248,9.81596,831.52826,1362.8722299808,0,0,0
136.61937,9.82712,831.53678,1342.5749433144,0,0,0
137.2198,9.84132,831.61023,1350.423962136,0,0,0
138.03003,9.81349,831.5883,1354.5563191047,0,0,0
137.62178,9.79967,831.3458,1348.6480288126,0,0,0
137.4792,9.79965,831.57276,1347.24804228,0,0,0
135.76739,9.91477,831.17143,1346.1024453503,0,0,0
136.27408,9.91349,831.26213,1350.9517293392,0,0,0
134.30187,9.9106,831.38391,1331.012112822,0,0,0
134.76245,9.90982,831.55274,1335.471622259,0,0,0
138.50666,9.91726,831.24829,1373.6065589516,0,0,0
135.80859,9.92308,831.3343,1347.6395032572,0,0,0
136.28122,9.88667,831.04646,1347.3674493374,0,0,0
132.71462,9.88494,831.20614,1311.8760558228,0,0,0
141.2187,9.91279,831.25553,1399.871317173,0,0,0
135.99788,9.89014,831.21635,1345.0380729032,0,0,0
136.80411,9.89348,830.92404,1353.4687262028,0,0,0
135.70523,9.89361,830.9977,1342.6146205803,0,0,0
137.19222,9.9151,831.10628,1360.274580522,0,0,0
134.53692,9.91667,831.14482,1334.1582384564,0,0,0
135.109,9.90034,831.1627,1337.62503706,0,0,0
136.03331,9.88029,831.10735,1344.0485524599,0,0,0
135.50167,9.90893,831.15738,1342.6765629131,0,0,0
135.34244,9.93882,831.09862,1345.1441495208,0,0,0
138.74854,9.90884,831.10032,1374.8370830936,0,0,0
138.67414,9.89988,830.94,1372.8573451032,0,0,0
135.68403,9.90197,831.72477,1343.5391945391,0,0,0
135.93548,9.8989,831.722,1345.611722972,0,0,0
137.13047,9.89987,831.69688,1357.5738260389,0,0,0
135.38277,9.90703,831.63194,1341.2411638731,0,0,0
139.23408,9.91834,831.63876,1380.9709450272,0,0,0
135.47211,9.88462,831.67538,1339.0903279482,0,0,0
136.53024,9.92256,832.01943,1354.7294982144,0,0,0
135.11553,9.95737,831.77502,1345.3953249561,0,0,0
136.74646,9.92939,831.67112,1357.8089324594,0,0,0
136.57392,9.88539,831.73733,1350.0864630288,0,0,0
134.60859,9.89577,832.36178,1332.0556466643,0,0,0
139.41093,9.89142,832.46994,1378.9720612206,0,0,0
135.48846,9.89622,832.45397,1340.8236076212,0,0,0
135.86776,9.87868,831.91489,1342.1941233568,0,0,0
135.61362,9.89412,832.57149,1341.7774299144,0,0,0
137.99126,9.92777,832.30302,1369.9454912902,0,0,0
138.26857,9.89849,832.23489,1368.6500574593,0,0,0
137.13447,9.8873,832.49932,1355.889645231,0,0,0
134.4448,9.89826,832.29706,1330.769586048,0,0,0
133.41648,9.92762,832.4067,1324.5081151776,0,0,0
137.55502,9.89713,832.39286,1361.3999150926,0,0,0
137.72366,9.91798,832.29237,1365.9405054068,0,0,0
137.00717,9.91816,832.35156,1358.8590332072,0,0,0
136.57498,9.92404,832.42225,1355.3755645192,0,0,0
136.30015,9.91407,832.29408,1351.2892281105,0,0,0
137.04711,9.92557,832.28875,1360.2706836027,0,0,0
135.995,9.91514,832.27321,1348.4094643,0,0,0
135.73069,9.92246,832.19316,1346.7823422974,0,0,0
137.6981,9.89805,832.26874,1362.942678705,0,0,0
136.72956,9.88407,832.23255,1351.4445421092,0,0,0
134.78786,9.89673,832.3505,1333.9590576978,0,0,0
136.01904,9.91675,832.0718,1348.86681492,0,0,0
134.88615,9.90688,832.19465,1336.300901712,0,0,0
136.4814,9.89353,832.05073,1350.282825342,0,0,0
135.94626,9.91774,832.08309,1348.2796606524,0,0,0
132.66603,9.91938,831.85187,1315.9647646614,0,0,0
138.25951,9.88001,832.07798,1366.0053413951,0,0,0
135.92358,9.93244,832.19337,1350.0528029352,0,0,0
137.59273,9.92175,832.11928,1365.1606688775,0,0,0
138.73974,9.89573,832.14398,1372.9310073102,0,0,0
135.75732,9.90623,832.92193,1344.8432361036,0,0,0
134.84708,9.92051,832.88404,1337.7518056108,0,0,0
136.93196,9.9152,832.58512,1357.707769792,0,0,0
136.17888,9.91761,832.58363,1350.5690220768,0,0,0
138.53951,9.93308,832.57703,1376.1240359908,0,0,0
138.39587,9.89105,832.62791,1368.8804699635,0,0,0
135.68555,9.89667,832.54488,1342.8351121185,0,0,0
137.25128,9.8812,832.4891,1356.207347936,0,0,0
134.94319,9.87629,832.51145,1332.7380779651,0,0,0
133.90915,9.92101,832.74458,1328.5140162415,0,0,0
136.61618,9.92177,832.84997,1355.4743162386,0,0,0
135.21398,9.89116,832.58107,1337.4231104168,0,0,0
137.17466,9.90696,833.11206,1358.9838696336,0,0,0
135.7477,9.91933,832.99177,1346.526233041,0,0,0
137.31885,9.90964,833.08587,1360.780368714,0,0,0
135.11305,9.89271,833.12973,1336.6342208655,0,0,0
137.70645,9.88866,833.1112,1361.732263857,0,0,0
135.34451,9.88613,832.81016,1338.0334206463,0,0,0
136.84344,9.90224,833.12653,1355.0565853056,0,0,0
136.55261,9.90906,833.15911,1353.1080056466,0,0,0
136.49658,9.91874,833.18764,1353.8740879092,0,0,0
137.02909,9.92441,833.16337,1359.9328710869,0,0,0
136.39323,9.92421,833.27408,1353.5950570983,0,0,0
138.1677,9.92133,833.14995,1370.807347041,0,0,0
134.72095,9.92893,833.17167,1337.6348820835,0,0,0
137.29309,9.92351,833.31176,1362.4293515459,0,0,0
135.45439,9.89458,833.25513,1340.2642982062,0,0,0
135.17359,9.88927,833.41587,1336.7681283793,0,0,0
135.65781,9.91074,833.42524,1344.4692838794,0,0,0
134.58034,9.90834,833.44845,1333.4677660356,0,0,0
134.96314,9.90654,832.79696,1337.0177449356,0,0,0
133.39573,9.90274,833.03541,1320.9832313002,0,0,0
135.18457,9.89329,832.83911,1337.4201545353,0,0,0
136.00659,9.92108,832.96111,1349.3322599172,0,0,0
137.29603,9.90083,832.78312,1359.3446527049,0,0,0
136.92062,9.91445,832.85295,1357.492640959,0,0,0
133.41835,9.9279,832.84507,1324.564036965,0,0,0
137.14611,9.92373,832.91597,1361.0009661903,0,0,0
136.45321,9.89956,832.8636,1350.8267395876,0,0,0
139.06984,9.88501,833.00539,1374.7067590984,0,0,0
136.5102,9.90509,832.7531,1352.145816918,0,0,0
136.37435,9.88305,832.87382,1347.7945197675,0,0,0
137.29117,9.91824,832.867,1361.6867739408,0,0,0
139.72736,9.9328,832.77588,1387.883921408,0,0,0
138.61269,9.89198,832.74075,1371.1539572262,0,0,0
138.36823,9.89491,833.09715,1369.1411827093,0,0,0
137.69638,9.88382,833.09311,1360.9662345716,0,0,0
138.3163,9.89169,832.96175,1368.181961547,0,0,0
135.19196,9.91076,833.05862,1339.8550694896,0,0,0
136.78888,9.90547,833.04222,1354.9581471736,0,0,0
139.02768,9.9384,833.25257,1381.712694912,0,0,0
137.10258,9.9075,833.21936,1358.34381135,0,0,0
137.35444,9.90893,833.38457,1361.0355311492,0,0,0
137.40485,9.92987,833.34008,1364.4122978695,0,0,0
136.50438,9.93877,833.24555,1356.6856368126,0,0,0
137.1618,9.89998,833.30772,1357.899076764,0,0,0
136.16709,9.89935,833.20062,1347.9656823915,0,0,0
134.42476,9.93573,833.31964,1335.6081206748,0,0,0
136.02886,9.92245,833.31133,1349.739561907,0,0,0
135.38394,9.88539,833.22383,1338.3230466366,0,0,0
135.40945,9.91278,832.35071,1342.284087771,0,0,0
134.50245,9.92301,832.04157,1334.6691563745,0,0,0
133.31662,9.89018,831.97153,1318.5253687916,0,0,0
135.27446,9.88964,832.5123,1337.8157105944,0,0,0
137.5332,9.91678,832.06308,1363.886487096,0,0,0
136.14041,9.90694,832.43161,1348.7348734454,0,0,0
138.03458,9.90172,832.35518,1366.7797614776,0,0,0
135.29304,9.91146,832.29003,1340.9515542384,0,0,0
135.48512,9.92062,832.34006,1344.0963911744,0,0,0
139.17188,9.90825,832.29301,1378.94978001,0,0,0
138.48348,9.99521,832.48612,1384.1714641308,0,0,0
133.06648,10.006,832.47867,1331.46319888,0,0,0
134.84541,9.98905,832.52146,1346.9775427605,0,0,0
137.33125,9.99279,832.62429,1372.3223416875,0,0,0
135.86462,10.00882,832.60023,1359.8445259484,0,0,0
135.1541,9.99939,832.62067,1351.458555999,0,0,0
136.14892,9.97731,832.61833,1358.3999810052,0,0,0
135.18067,9.98633,832.5898,1349.9587802411,0,0,0
135.25462,9.99807,832.51827,1352.2851585834,0,0,0
135.53259,9.9836,832.67709,1353.103165524,0,0,0
138.4814,9.9301,833.1359,1375.13415014,0,0,0
134.27868,9.90154,832.85742,1329.5657211672,0,0,0
135.80768,9.87799,832.90171,1341.5069049632,0,0,0
135.46968,9.89975,832.86679,1341.11596458,0,0,0
133.60805,9.92373,832.80909,1325.8902140265,0,0,0
136.27479,9.92622,832.63771,1352.6935459938,0,0,0
136.39323,9.89339,832.73394,1349.3914177497,0,0,0
137.52865,9.88354,832.90256,1359.269913421,0,0,0
136.13181,9.92436,832.88084,1351.0210898916,0,0,0
138.49117,9.93548,832.98495,1375.9762497116,0,0,0
134.8279,9.90274,833.53297,1335.165638446,0,0,0
135.6902,9.91259,833.26599,1345.041319618,0,0,0
138.43271,9.91172,833.53723,1372.1062603612,0,0,0
136.73634,9.91571,833.36115,1355.8378939014,0,0,0
137.40556,9.9423,833.49443,1366.127299188,0,0,0
135.76997,9.90766,833.54127,1345.1627009702,0,0,0
135.25012,9.91503,833.65028,1341.0089973036,0,0,0
135.70706,9.93766,833.39075,1348.6106218796,0,0,0
136.86748,9.94121,833.46931,1360.6283608508,0,0,0
135.37574,9.93548,833.5351,1345.0229572552,0,0,0
137.38835,9.84609,832.93747,1352.7380590515,0,0,0
137.37979,9.86045,832.97431,1354.6265503055,0,0,0
138.49876,9.8415,832.97729,1363.03554654,0,0,0
138.13131,9.83585,833.05947,1358.6388454635,0,0,0
137.35292,9.85585,832.97026,1353.729776582,0,0,0
